,Jul,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,1,87,79.5,75,74,71.8,70,85,76.6,62,5,1.8,0,27.9,27.8,27.8,0.00,2020-7-1
1,2,86,79.9,75,72,71.1,70,85,74.9,62,10,4.1,0,27.8,27.8,27.8,0.20,2020-7-2
2,3,83,78.0,75,72,71.6,71,89,80.4,68,3,1.5,0,27.8,27.8,27.8,0.00,2020-7-3
3,4,84,77.3,73,73,71.5,71,95,83.9,66,6,4.0,2,27.8,27.8,27.7,0.00,2020-7-4
4,5,79,77.0,72,74,71.3,70,93,82.5,78,5,2.0,0,27.8,27.7,27.7,0.28,2020-7-5
5,6,82,78.3,74,73,62.6,0,95,71.1,0,6,2.6,1,27.7,24.2,0.0,0.04,2020-7-6
6,7,81,76.1,73,74,72.8,71,95,88.6,74,2,1.0,0,27.8,27.7,27.0,0.28,2020-7-7
7,8,81,76.9,75,76,74.4,74,96,91.9,85,2,0.5,0,27.9,27.8,27.8,0.55,2020-7-8
8,9,84,77.5,74,74,72.4,71,96,85.4,69,3,1.3,0,27.9,27.8,27.8,0.12,2020-7-9
9,10,84,78.9,74,73,71.9,71,95,79.6,66,5,1.8,0,27.9,27.9,27.8,0.04,2020-7-10
10,11,88,80.0,75,73,71.5,71,90,76.5,58,3,2.4,0,27.9,27.8,27.8,0.04,2020-7-11
11,12,83,78.1,74,72,70.8,70,90,78.1,67,13,2.8,0,27.9,27.9,27.8,0.00,2020-7-12
12,13,84,77.4,74,73,71.0,70,88,80.5,69,3,1.5,0,28.0,27.9,27.8,0.00,2020-7-13
13,14,84,78.4,73,74,71.8,69,91,79.8,65,5,3.6,0,27.9,27.8,27.8,0.08,2020-7-14
14,15,80,77.1,74,73,71.4,69,91,82.8,77,3,2.3,1,27.8,27.8,27.7,0.00,2020-7-15
15,16,80,76.0,74,71,69.4,68,88,80.1,66,3,1.9,1,27.7,27.7,27.7,0.00,2020-7-16
16,17,83,77.5,73,73,71.4,70,90,81.4,69,3,1.3,0,27.8,27.7,27.7,0.00,2020-7-17
17,18,85,78.8,75,73,72.4,72,91,81.3,67,2,0.9,0,27.9,27.8,27.8,0.02,2020-7-18
18,19,88,80.0,75,72,71.8,71,89,76.4,59,7,4.3,0,27.9,27.9,27.8,0.02,2020-7-19
19,20,89,80.6,75,73,71.3,70,89,74.3,56,5,1.9,0,27.9,27.8,27.8,0.00,2020-7-20
20,21,89,80.4,75,73,72.0,71,89,76.0,57,5,1.1,0,27.9,27.9,27.8,0.00,2020-7-21
21,22,87,80.0,75,74,72.4,71,90,78.3,61,3,1.1,0,27.9,27.9,27.8,0.00,2020-7-22
22,23,88,80.1,75,75,72.8,70,98,78.8,61,2,1.0,0,27.9,27.9,27.8,0.04,2020-7-23
23,24,81,74.9,72,74,72.5,71,98,93.1,78,2,0.8,0,27.9,27.9,27.9,0.31,2020-7-24
24,25,87,77.9,71,74,72.0,70,100,83.4,59,3,0.6,0,27.9,27.9,27.8,1.22,2020-7-25
25,26,86,79.3,74,74,71.3,70,96,77.3,61,2,0.9,0,28.0,27.9,27.9,1.46,2020-7-26
26,27,82,77.3,73,72,70.9,70,91,80.5,69,7,2.5,0,28.0,27.9,27.9,0.00,2020-7-27
27,28,83,78.0,74,73,71.5,71,90,80.1,70,3,1.8,1,27.9,27.9,27.8,0.00,2020-7-28
28,29,85,78.5,74,73,71.8,71,91,80.6,66,5,2.3,0,27.9,27.8,27.8,0.00,2020-7-29
29,30,85,79.3,72,74,72.1,70,93,79.6,65,6,1.8,0,27.9,27.8,27.8,0.00,2020-7-30
30,31,90,82.8,75,72,71.3,70,90,70.3,51,1,0.5,0,27.9,27.8,27.8,0.04,2020-7-31
